ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.ACCESS_FINE_LOCATION]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.READ_PHONE_STATE]-[android.permission.ACCESS_WIFI_STATE]-[com.primarymathsquiz.permission.C2D_MESSAGE]-[com.google.android.c2dm.permission.RECEIVE]-[android.permission.WAKE_LOCK]-[android.permission.VIBRATE]-,0,1
startActivity,com/google/ads/AdActivity$StaticMethodWrapper,com/google/ads/AdActivity,external,0,0,0
startActivity,com/primarymathsquiz/BT_screen_excelDoc,android.intent.action.SEND,internal,161,325,90
startActivity,com/primarymathsquiz/BT_screen_excelDoc,android.intent.action.VIEW,internal,161,328,90
startActivity,com/primarymathsquiz/BT_screen_excelDoc,android.intent.action.VIEW,internal,161,332,90
startActivity,com/primarymathsquiz/BT_screen_htmlDoc$2,android.intent.action.VIEW,external,161,333,90
startActivity,com/primarymathsquiz/BT_screen_htmlDoc,android.intent.action.SEND,internal,161,333,96
startActivity,com/primarymathsquiz/BT_screen_htmlDoc,android.intent.action.VIEW,internal,161,333,96
startActivity,com/primarymathsquiz/BT_screen_map,android.intent.action.VIEW,internal,162,333,110
startActivity,com/primarymathsquiz/BT_screen_pdfDoc,android.intent.action.SEND,internal,162,339,131
startActivity,com/primarymathsquiz/BT_screen_pdfDoc,android.intent.action.VIEW,internal,162,342,131
startActivity,com/primarymathsquiz/BT_screen_pdfDoc,android.intent.action.VIEW,internal,162,346,131
startActivity,com/primarymathsquiz/BT_screen_pptDoc,android.intent.action.SEND,internal,162,353,138
startActivity,com/primarymathsquiz/BT_screen_pptDoc,android.intent.action.VIEW,internal,162,356,138
startActivity,com/primarymathsquiz/BT_screen_pptDoc,android.intent.action.VIEW,internal,162,360,138
startActivity,com/primarymathsquiz/BT_screen_wordDoc,android.intent.action.SEND,internal,162,375,169
startActivity,com/primarymathsquiz/BT_screen_wordDoc,android.intent.action.VIEW,internal,162,378,169
startActivity,com/primarymathsquiz/BT_screen_wordDoc,android.intent.action.VIEW,internal,162,382,169
startService,com/primarymathsquiz/Cp_stream,null,internal,163,388,179
sendBroadcast,com/primarymathsquiz/Cp_stream,com.primarymathsquiz.sendseekbar,internal,163,388,180
sendBroadcast,com/primarymathsquiz/Cp_streamservice,null,internal,164,388,180
sendBroadcast,com/primarymathsquiz/Cp_streamservice,com/primarymathsquiz/Cp_stream,internal,164,388,180
sendBroadcast,com/primarymathsquiz/Cp_streamservice,com/primarymathsquiz/Cp_stream,internal,164,388,180
sendBroadcast,com/primarymathsquiz/Cp_streamservice,com/primarymathsquiz/Cp_stream,internal,164,388,180
startActivity,com/primarymathsquiz/Cr_html_pro$2,android.intent.action.VIEW,external,170,388,181
startActivity,com/primarymathsquiz/Cr_html_pro,android.intent.action.SEND,internal,170,388,187
startActivity,com/primarymathsquiz/Cr_html_pro,android.intent.action.VIEW,internal,170,388,187
startActivity,com/primarymathsquiz/Cr_html_pro,android.intent.action.VIEW,internal,170,388,187
startActivity,com/primarymathsquiz/Email_image,android.intent.action.SEND,internal,170,408,212
startActivity,com/primarymathsquiz/Email_image,android.intent.action.PICK,internal,172,424,212
startActivityForResult,com/primarymathsquiz/Email_image,android.intent.action.PICK,internal,172,424,212
startActivity,com/primarymathsquiz/Email_image,android.media.action.IMAGE_CAPTURE,internal,172,428,212
startActivityForResult,com/primarymathsquiz/Email_image,android.media.action.IMAGE_CAPTURE,internal,172,428,212
startActivity,com/primarymathsquiz/La_email_audio$1,android.intent.action.PICK,external,172,428,223
startActivityForResult,com/primarymathsquiz/La_email_audio$1,android.intent.action.PICK,external,172,428,223
startActivity,com/primarymathsquiz/La_email_audio$2,android.intent.action.SEND,external,172,428,224
sendBroadcast,com/primarymathsquiz/La_voice_notes,android.intent.action.MEDIA_SCANNER_SCAN_FILE,internal,175,434,228
startActivity,com/primarymathsquiz/Save_contact,android.intent.action.INSERT,internal,175,454,253
startActivityForResult,com/primarymathsquiz/Save_contact,android.intent.action.INSERT,internal,175,454,253
startActivity,com/revmob/ads/fullscreen/RevMobFullscreen,com/revmob/ads/fullscreen/FullscreenActivity,external,175,456,285
startActivityForResult,com/revmob/ads/fullscreen/RevMobFullscreen,com/revmob/ads/fullscreen/FullscreenActivity,external,175,456,285
startActivity,com/revmob/internal/MarketAsyncManager,android.intent.action.VIEW,external,193,512,288
startActivity,com/revmob/internal/MarketAsyncManager,android.intent.action.VIEW,external,193,512,288
