ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.GET_TASKS]-[android.permission.READ_PHONE_STATE]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-,0,0
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,116,601,66
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.DIAL,external,116,601,66
startActivity,com/millennialmedia/android/VideoPlayer,com/millennialmedia/android/MMAdViewOverlayActivity,external,116,601,66
startActivityForResult,com/millennialmedia/android/VideoPlayer,com/millennialmedia/android/MMAdViewOverlayActivity,external,116,601,66
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,116,601,66
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,116,601,66
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,116,601,67
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,116,601,67
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,116,601,67
startActivity,com/mobclix/android/sdk/FetchRemoteConfig$1,android.intent.action.VIEW,external,116,750,72
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity$MobclixBrowser$1,android.intent.action.VIEW,external,150,921,74
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity$MobclixVideoView$ButtonOnClickListener,android.intent.action.VIEW,external,150,921,80
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,152,940,97
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,152,940,97
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,152,940,97
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,152,940,97
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,152,940,97
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,152,940,97
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,152,940,97
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,152,940,97
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,152,940,97
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,152,940,97
startActivity,com/mobclix/android/sdk/MobclixCreative$Action,com/mobclix/android/sdk/MobclixBrowserActivity,external,169,942,102
startActivity,com/mobclix/android/sdk/MobclixCreative$Action,com/mobclix/android/sdk/MobclixBrowserActivity,external,169,942,102
startActivity,com/mobclix/android/sdk/MobclixCreative$Action,android.intent.action.VIEW,external,169,942,102
startActivity,com/mobclix/android/sdk/MobclixCreative$Action,android.intent.action.VIEW,external,169,942,102
startActivity,com/mobclix/android/sdk/MobclixCreative$Action,cachedHTML,external,169,942,102
startActivity,com/mobclix/android/sdk/MobclixCreative$HTMLPage$1,android.intent.action.VIEW,external,169,944,102
startActivity,com/mobclix/android/sdk/MobclixCreative$HTMLPage$1,android.intent.action.VIEW,external,169,944,102
startActivity,com/mobclix/android/sdk/MobclixCreative$HTMLPage$1,android.intent.action.VIEW,external,169,944,102
startActivity,com/mobclix/android/sdk/MobclixCreative$HTMLPage$1,android.intent.action.VIEW,external,169,944,102
startActivity,com/mobclix/android/sdk/MobclixCreative$HTMLPage$3,android.intent.action.VIEW,external,169,944,109
startActivity,com/mobclix/android/sdk/MobclixFullScreenAdView,com/mobclix/android/sdk/MobclixBrowserActivity,external,169,944,123
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,android.intent.action.EDIT,external,180,953,137
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,184,953,137
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,192,953,137
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,192,953,137
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,android.intent.action.VIEW,external,192,953,137
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,android.intent.action.VIEW,external,192,953,137
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,192,953,137
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,210,953,137
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,210,953,137
startActivity,com/mobclix/android/sdk/MobclixWebView,com/mobclix/android/sdk/MobclixBrowserActivity,external,287,955,141
