ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.ACCESS_WIFI_STATE]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.READ_PHONE_STATE]-[android.permission.INTERNET]-[android.permission.VIBRATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[com.android.vending.CHECK_LICENSE]-[com.android.launcher.permission.INSTALL_SHORTCUT]-,1,1
startActivity,com/acrodea/vividruntime/launcher/MyImagePicker$1,android.media.action.IMAGE_CAPTURE,external,142,442,70
startActivityForResult,com/acrodea/vividruntime/launcher/MyImagePicker$1,android.media.action.IMAGE_CAPTURE,external,142,442,70
startActivity,com/acrodea/vividruntime/launcher/MyImagePicker$1,android.intent.action.PICK,external,142,442,70
startActivityForResult,com/acrodea/vividruntime/launcher/MyImagePicker$1,android.intent.action.PICK,external,142,442,70
startActivity,com/acrodea/vividruntime/launcher/MyLaunch,android.intent.action.VIEW,external,144,456,73
startActivity,com/acrodea/vividruntime/launcher/MyLaunch,android.intent.action.VIEW,external,144,456,73
startActivity,com/acrodea/vividruntime/launcher/MyLaunch,android.intent.action.VIEW,external,144,456,73
startActivity,com/acrodea/vividruntime/launcher/MyMovie,com/acrodea/vividruntime/launcher/MovieActivity,external,165,469,75
startActivityForResult,com/acrodea/vividruntime/launcher/MyMovie,com/acrodea/vividruntime/launcher/MovieActivity,external,165,469,75
startActivity,com/acrodea/vividruntime/launcher/MyPopup$5,null,external,165,469,78
startActivity,com/acrodea/vividruntime/launcher/o,android.intent.action.VIEW,external,167,469,86
startActivity,com/acrodea/vividruntime/launcher/RPKPackageReceiver,android.intent.action.MAIN,external,171,469,87
sendBroadcast,com/acrodea/vividruntime/launcher/x,android.intent.action.vividruntime.installerror,external,171,469,87
sendBroadcast,com/acrodea/vividruntime/launcher/y,android.intent.action.vividruntime.installerror,external,181,469,87
sendBroadcast,com/acrodea/vividruntime/launcher/y,android.intent.action.vividruntime.installerror,external,181,469,87
