ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.VIBRATE]-[android.permission.WAKE_LOCK]-[android.permission.CAMERA]-[android.permission.RECEIVE_SMS]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.ACCESS_FINE_LOCATION]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.READ_PHONE_STATE]-,0,1
startActivity,com/ushahidi/android/app/IncidentAdd,com/ushahidi/android/app/DeploymentSearch,external,285,125,103
startActivityForResult,com/ushahidi/android/app/IncidentAdd,com/ushahidi/android/app/DeploymentSearch,external,285,125,103
startActivity,com/ushahidi/android/app/IncidentList$4,com/ushahidi/android/app/IncidentView,external,285,125,105
startActivityForResult,com/ushahidi/android/app/IncidentList$4,com/ushahidi/android/app/IncidentView,external,285,125,105
startActivity,com/ushahidi/android/app/IncidentList,com/ushahidi/android/app/Dashboard,external,285,125,105
startActivityForResult,com/ushahidi/android/app/IncidentList,com/ushahidi/android/app/Dashboard,external,285,125,105
startActivity,com/ushahidi/android/app/IncidentList,com/ushahidi/android/app/IncidentTab,external,285,125,105
startActivityForResult,com/ushahidi/android/app/IncidentList,com/ushahidi/android/app/IncidentTab,external,285,125,105
startActivity,com/ushahidi/android/app/IncidentList,com/ushahidi/android/app/IncidentAdd,external,285,125,105
startActivityForResult,com/ushahidi/android/app/IncidentList,com/ushahidi/android/app/IncidentAdd,external,285,125,105
startActivity,com/ushahidi/android/app/IncidentList,com/ushahidi/android/app/About,external,285,125,105
startActivityForResult,com/ushahidi/android/app/IncidentList,com/ushahidi/android/app/About,external,285,125,105
startActivity,com/ushahidi/android/app/IncidentList,com/ushahidi/android/app/Settings,external,285,125,105
startActivityForResult,com/ushahidi/android/app/IncidentList,com/ushahidi/android/app/Settings,external,285,125,105
startActivity,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/Dashboard,external,285,125,110
startActivityForResult,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/Dashboard,external,285,125,110
startActivity,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/IncidentTab,external,285,125,110
startActivityForResult,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/IncidentTab,external,285,125,110
startActivity,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/IncidentAdd,external,285,125,110
startActivityForResult,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/IncidentAdd,external,285,125,110
startActivity,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/About,external,285,125,110
startActivityForResult,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/About,external,285,125,110
startActivity,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/Settings,external,285,125,110
startActivityForResult,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/Settings,external,285,125,110
startActivity,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/checkin/CheckinActivity,external,285,125,110
startActivity,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/IncidentAdd,external,285,125,110
startActivityForResult,com/ushahidi/android/app/IncidentMap,com/ushahidi/android/app/IncidentAdd,external,285,125,110
startActivity,com/ushahidi/android/app/IncidentTab,com/ushahidi/android/app/Dashboard,external,285,125,119
startActivity,com/ushahidi/android/app/IncidentTab,com/ushahidi/android/app/checkin/CheckinActivity,external,285,125,119
startActivity,com/ushahidi/android/app/IncidentTab,com/ushahidi/android/app/IncidentAdd,external,285,125,119
startActivityForResult,com/ushahidi/android/app/IncidentTab,com/ushahidi/android/app/IncidentAdd,external,285,125,119
startActivity,com/ushahidi/android/app/IncidentTab,com/ushahidi/android/app/DeploymentSearch,external,285,125,120
startActivityForResult,com/ushahidi/android/app/IncidentTab,com/ushahidi/android/app/DeploymentSearch,external,285,125,120
startActivity,com/ushahidi/android/app/IncidentView,com/ushahidi/android/app/ui/ImagePreviewer,external,285,125,121
startActivityForResult,com/ushahidi/android/app/IncidentView,com/ushahidi/android/app/ui/ImagePreviewer,external,285,125,121
startActivity,com/ushahidi/android/app/IncidentView,com/ushahidi/android/app/Dashboard,external,285,125,121
startActivity,com/ushahidi/android/app/IncidentView,android.intent.action.SEND,external,285,125,123
startService,com/ushahidi/android/app/MainReceiver,com/ushahidi/android/app/BackgroundService,external,285,125,123
startActivity,com/ushahidi/android/app/MapUserLocation$1,android.settings.LOCATION_SOURCE_SETTINGS,external,304,125,134
startService,com/ushahidi/android/app/Settings,com/ushahidi/android/app/BackgroundService,external,376,394,138
startActivity,com/ushahidi/android/app/SplashScreen$1,com/ushahidi/android/app/Dashboard,external,376,398,140
startActivity,com/ushahidi/android/app/SplashScreen$1,com/ushahidi/android/app/Dashboard,external,376,398,140
startActivity,com/ushahidi/android/app/SplashScreen$1,com/ushahidi/android/app/Dashboard,external,376,398,140
startActivity,com/ushahidi/android/app/ui/ImagePreviewer,android.intent.action.SEND,external,376,405,142
startActivityForResult,com/ushahidi/android/app/ui/ImagePreviewer,android.intent.action.SEND,external,376,405,142
