ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.ACCESS_WIFI_STATE]-[android.permission.GET_ACCOUNTS]-[android.permission.USE_CREDENTIALS]-,0,1
startActivity,com/borixo/transzilla/MainActivity_$IntentBuilder_,com/borixo/transzilla/MainActivity_,external,142,579,254
startActivity,com/borixo/transzilla/MainActivity_$IntentBuilder_,com/borixo/transzilla/MainActivity_,external,142,579,254
startActivityForResult,com/borixo/transzilla/MainActivity_$IntentBuilder_,com/borixo/transzilla/MainActivity_,external,142,579,254
startActivity,com/borixo/transzilla/MainActivity_$IntentBuilder_,com/borixo/transzilla/MainActivity_,external,142,579,254
startActivityForResult,com/borixo/transzilla/MainActivity_$IntentBuilder_,com/borixo/transzilla/MainActivity_,external,142,579,254
startActivity,com/borixo/transzilla/MainActivity_$IntentBuilder_,com/borixo/transzilla/MainActivity_,external,142,579,254
startActivityForResult,com/borixo/transzilla/MainActivity_$IntentBuilder_,com/borixo/transzilla/MainActivity_,external,142,579,254
startActivity,com/borixo/transzilla/MainActivity_$IntentBuilder_,com/borixo/transzilla/MainActivity_,external,142,579,254
startActivity,com/borixo/transzilla/PlusOneActivity,com/borixo/transzilla/PlusOneActivity,internal,142,579,259
startActivity,com/borixo/transzilla/RateActivity$1,android.intent.action.VIEW,external,142,579,262
startActivity,com/borixo/transzilla/RateActivity,com/borixo/transzilla/RateActivity,internal,142,579,262
startActivity,com/borixo/transzilla/SettingsActivity,android.intent.action.VIEW,internal,142,579,263
startActivity,com/borixo/transzilla/SettingsActivity,android.intent.action.SEND,internal,142,579,263
startActivity,com/borixo/transzilla/SettingsActivity,android.intent.action.VIEW,internal,142,579,263
startActivity,com/borixo/transzilla/SettingsActivity,android.speech.tts.engine.INSTALL_TTS_DATA,internal,142,579,263
startActivity,com/borixo/transzilla/TranslateFragment,android.speech.action.RECOGNIZE_SPEECH,external,142,580,277
