AppName,BroadcastReceiverOccurenceFrequency,ActivityOccurenceFrequency:,ServicesOccurenceFrequency:,TotalComponentFrequency: ,MostCommonTargetComponent: ,MostCommonSourceComponent: ,InternalOccurence:,ExternalOccurence,Permissions,NormalPerms,DangerousPerms,SignaturePerms,RiskRatePerPerms,androidApiCount,javaApiCount,totalApiCount,apiPerComponent,userActionCount,userActionPerComponent,StringOffset,Repacked
0eFROyJBJ1dP.csv,1,23,2,26,2,6,1,26,8,2,3,2,0.375,19,6,25,0.9615384615384616,13,0.5,True,True
0eIvYtz6hiGk.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
0EmHccu1lyFg.csv,11,81,12,104,21,13,17,86,20,7,6,7,0.3,29,34,63,0.6057692307692307,14,0.1346153846153846,False,False
0f0dssukSl04.csv,0,27,3,30,10,4,1,30,5,2,3,2,0.6,5,5,10,0.3333333333333333,4,0.13333333333333333,True,True
0fbTpawswzyX.csv,1,31,4,36,10,5,7,29,41,15,14,15,0.34146341463414637,6,6,12,0.3333333333333333,9,0.25,True,False
0fCBUfTyVdMj.csv,0,37,4,41,12,10,1,41,1,0,0,0,0.0,11,8,19,0.4634146341463415,10,0.24390243902439024,False,True
0FG4TmtMXi6b.csv,1,56,8,65,15,6,2,63,6,2,4,2,0.6666666666666666,21,8,29,0.4461538461538462,12,0.18461538461538463,False,True
0fJrwQ3EhXyf.csv,7,61,7,75,9,29,8,67,4,2,2,2,0.5,30,22,52,0.6933333333333334,28,0.37333333333333335,False,False
0FsZAb4eF2Ze.csv,0,27,3,30,10,4,1,30,5,2,3,2,0.6,5,5,10,0.3333333333333333,4,0.13333333333333333,True,True
0FTvZNjDEXO7.csv,2,31,13,46,8,5,1,45,3,2,1,2,0.3333333333333333,17,9,26,0.5652173913043478,15,0.32608695652173914,False,False
0G5Wxjh9js2c.csv,0,10,0,10,4,3,1,10,3,2,1,2,0.3333333333333333,4,4,8,0.8,4,0.4,False,False
0GI8EKtZpIYZ.csv,4,78,19,101,8,8,1,100,2,2,0,2,0.0,21,17,38,0.37623762376237624,20,0.19801980198019803,False,True
0gMwIXxc5v2s.csv,3,29,30,62,26,8,4,58,5,2,3,2,0.6,16,8,24,0.3870967741935484,19,0.3064516129032258,False,True
